GRANDE_REG,COD_UF,SIGLA_UF,COD,NOME,TIPO,COD_CAT_ASSOC,CAT_ASSOC,COD_MUN,NOME_MUN,LEG,DATA
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5215603,PADRE BERNARDO,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5217302,PIRENÓPOLIS,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5217609,PLANALTINA,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5219753,SANTO ANTÔNIO DO DESCOBERTO,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5220009,SÃO JOÃO D'ALIANÇA,Lei Complementar nº 163 (Federal),14/06/18
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5220686,SIMOLÂNDIA,Lei Complementar nº 163 (Federal),14/06/18
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5221858,VALPARAÍSO DE GOIÁS,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5222203,VILA BOA,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5222302,VILA PROPÍCIO,Lei Complementar nº 163 (Federal),14/06/18
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5200050,ABADIA DE GOIÁS,Lei Complementar n° 27 - Alterada pela Lei Complementar n° 78 de 25.03.2010,30/12/99
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5201405,APARECIDA DE GOIÂNIA,Lei Complementar n° 27 - Alterada pela Lei Complementar n° 78 de 25.03.2010,30/12/99
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5201801,ARAGOIÂNIA,Lei Complementar n° 27 - Alterada pela Lei Complementar n° 78 de 25.03.2010,30/12/99
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5203302,BELA VISTA DE GOIÁS,Inclusão de município - Lei Complementar  48 de 09.12.2004 - Alterada pela Lei Complementar n° 78 de 25.03.2010,09/12/04
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5203559,BONFINÓPOLIS,inclusão de município - Lei Complementar  78 de 25.03.2010,25/03/10
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5203609,BRAZABRANTES,inclusão de município - Lei Complementar  78 de 25.03.2010,25/03/10
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5204557,CALDAZINHA,inclusão de município - Lei Complementar  78 de 25.03.2010,25/03/10
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5205208,CATURAÍ,inclusão de município - Lei Complementar  78 de 25.03.2010,25/03/10
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5208400,GOIANÁPOLIS,Lei Complementar n° 27 - Alterada pela Lei Complementar n° 78 de 25.03.2010,30/12/99
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5208707,GOIÂNIA,Lei Complementar n° 27 - Alterada pela Lei Complementar n° 78 de 25.03.2010,30/12/99
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5208806,GOIANIRA,Lei Complementar n° 27 - Alterada pela Lei Complementar n° 78 de 25.03.2010,30/12/99
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5209200,GUAPÓ,Inclusão de município - Lei Complementar  54 de 23.05.2005 - Alterada pela Lei Complementar n° 78 de 25.03.2010,23/05/05
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5209705,HIDROLÂNDIA,Lei Complementar n° 27 - Alterada pela Lei Complementar n° 78 de 25.03.2010,30/12/99
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5210000,INHUMAS,Inclusão de município - Lei Complementar nº 149,15/05/19
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5214507,NERÓPOLIS,Lei Complementar n° 27 - Alterada pela Lei Complementar n° 78 de 25.03.2010,30/12/99
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5215009,NOVA VENEZA,Inclusão de município - Lei Complementar  78 de 25.03.2010,25/03/10
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5219100,SANTA BÁRBARA DE GOIÁS,Inclusão de município - Lei Complementar nº 139,22/01/18
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5219738,SANTO ANTÔNIO DE GOIÁS,Lei Complementar n° 27 - Alterada pela Lei Complementar n° 78 de 25.03.2010,30/12/99
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5220454,SENADOR CANEDO,Lei Complementar n° 27 - Alterada pela Lei Complementar n° 78 de 25.03.2010,30/12/99
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5221197,TEREZÓPOLIS DE GOIÁS,inclusão de município - Lei Complementar  78 de 25.03.2010,25/03/10
Centro-Oeste,52,GO,5201,Região Metropolitana de Goiânia,RM,520101,NÃO TEM,5221403,TRINDADE,Lei Complementar n° 27 - Alterada pela Lei Complementar n° 78 de 25.03.2010,30/12/99
Centro-Oeste,51,MT,5101,Região Metropolitana do Vale do Rio Cuiabá,RM,510102,Entorno Metropolitano da RM Vale do Rio Cuiabá,5101605,BARÃO DE MELGAÇO,Lei Complementar 359,27/05/09
Centro-Oeste,51,MT,5101,Região Metropolitana do Vale do Rio Cuiabá,RM,510102,Entorno Metropolitano da RM Vale do Rio Cuiabá,5104906,JANGADA,Lei Complementar 359,27/05/09
Centro-Oeste,51,MT,5101,Região Metropolitana do Vale do Rio Cuiabá,RM,510102,Entorno Metropolitano da RM Vale do Rio Cuiabá,5105903,NOBRES,Lei Complementar 359,27/05/09
Centro-Oeste,51,MT,5101,Região Metropolitana do Vale do Rio Cuiabá,RM,510102,Entorno Metropolitano da RM Vale do Rio Cuiabá,5106208,NOVA BRASILÂNDIA,Lei Complementar 359,27/05/09
Centro-Oeste,51,MT,5101,Região Metropolitana do Vale do Rio Cuiabá,RM,510102,Entorno Metropolitano da RM Vale do Rio Cuiabá,5106455,PLANALTO DA SERRA,Lei Complementar 359,27/05/09
Centro-Oeste,51,MT,5101,Região Metropolitana do Vale do Rio Cuiabá,RM,510102,Entorno Metropolitano da RM Vale do Rio Cuiabá,5106505,POCONÉ,Lei Complementar 359,27/05/09
Centro-Oeste,51,MT,5101,Região Metropolitana do Vale do Rio Cuiabá,RM,510102,Entorno Metropolitano da RM Vale do Rio Cuiabá,5107701,ROSÁRIO OESTE,Lei Complementar 359,27/05/09
Centro-Oeste,51,MT,5101,Região Metropolitana do Vale do Rio Cuiabá,RM,510101,RM  Vale do Rio Cuiabá,5100102,ACORIZAL,Lei Complementar 577,19/05/16
Centro-Oeste,51,MT,5101,Região Metropolitana do Vale do Rio Cuiabá,RM,510101,RM  Vale do Rio Cuiabá,5103007,CHAPADA DOS GUIMARÃES,Lei Complementar 577,19/05/16
Centro-Oeste,51,MT,5101,Região Metropolitana do Vale do Rio Cuiabá,RM,510101,RM  Vale do Rio Cuiabá,5103403,CUIABÁ,Lei Complementar 359,27/05/09
Centro-Oeste,51,MT,5101,Região Metropolitana do Vale do Rio Cuiabá,RM,510101,RM  Vale do Rio Cuiabá,5106109,NOSSA SENHORA DO LIVRAMENTO,Lei Complementar 359,27/05/09
Centro-Oeste,51,MT,5101,Região Metropolitana do Vale do Rio Cuiabá,RM,510101,RM  Vale do Rio Cuiabá,5107800,SANTO ANTÔNIO DO LEVERGER,Lei Complementar 359,27/05/09
Centro-Oeste,51,MT,5101,Região Metropolitana do Vale do Rio Cuiabá,RM,510101,RM  Vale do Rio Cuiabá,5108402,VÁRZEA GRANDE,Lei Complementar 359,27/05/09
Nordeste,27,AL,2704,Região Metropolitana da Zona da Mata,RM,270401,NÃO TEM,2701100,BRANQUINHA,Lei Complementar 31,15/12/11
Nordeste,27,AL,2704,Região Metropolitana da Zona da Mata,RM,270401,NÃO TEM,2701357,CAMPESTRE,Lei Complementar 31,15/12/11
Nordeste,27,AL,2704,Região Metropolitana da Zona da Mata,RM,270401,NÃO TEM,2702108,COLÔNIA LEOPOLDINA,Lei Complementar 31,15/12/11
Nordeste,27,AL,2704,Região Metropolitana da Zona da Mata,RM,270401,NÃO TEM,2702801,FLEXEIRAS,Lei Complementar 31,15/12/11
Nordeste,27,AL,2704,Região Metropolitana da Zona da Mata,RM,270401,NÃO TEM,2703007,IBATEGUARA,Lei Complementar 31,15/12/11
Nordeste,27,AL,2704,Região Metropolitana da Zona da Mata,RM,270401,NÃO TEM,2703502,JACUÍPE,Lei Complementar 31,15/12/11
Nordeste,27,AL,2704,Região Metropolitana da Zona da Mata,RM,270401,NÃO TEM,2703809,JOAQUIM GOMES,Lei Complementar 31,15/12/11
Nordeste,27,AL,2704,Região Metropolitana da Zona da Mata,RM,270401,NÃO TEM,2703908,JUNDIÁ,Lei Complementar 31,15/12/11
Nordeste,27,AL,2704,Região Metropolitana da Zona da Mata,RM,270401,NÃO TEM,2705101,MATRIZ DE CAMARAGIBE,Lei Complementar 31,15/12/11
Nordeste,27,AL,2704,Região Metropolitana da Zona da Mata,RM,270401,NÃO TEM,2705507,MURICI,Lei Complementar 31,15/12/11
Nordeste,27,AL,2704,Região Metropolitana da Zona da Mata,RM,270401,NÃO TEM,2705606,NOVO LINO,Lei Complementar 31,15/12/11
Nordeste,27,AL,2704,Região Metropolitana da Zona da Mata,RM,270401,NÃO TEM,2707305,PORTO CALVO,Lei Complementar 31,15/12/11
Nordeste,27,AL,2704,Região Metropolitana da Zona da Mata,RM,270401,NÃO TEM,2708105,SANTANA DO MUNDAÚ,Lei Complementar 31,15/12/11
Nordeste,27,AL,2704,Região Metropolitana da Zona da Mata,RM,270401,NÃO TEM,2708303,SÃO JOSÉ DA LAJE,Lei Complementar 31,15/12/11
Nordeste,27,AL,2704,Região Metropolitana da Zona da Mata,RM,270401,NÃO TEM,2708501,SÃO LUíS DO QUITUNDE,Lei Complementar 31,15/12/11
Nordeste,27,AL,2704,Região Metropolitana da Zona da Mata,RM,270401,NÃO TEM,2709301,UNIÃO DOS PALMARES,Lei Complementar 31,15/12/11
Nordeste,27,AL,2706,Região Metropolitana de Caetés,RM,270601,NÃO TEM,2701407,CAMPO ALEGRE,Lei Complementar 35,26/07/12
Nordeste,27,AL,2706,Região Metropolitana de Caetés,RM,270601,NÃO TEM,2702306,CORURIPE,Lei Complementar 35,26/07/12
Nordeste,27,AL,2706,Região Metropolitana de Caetés,RM,270601,NÃO TEM,2707800,ROTEIRO,Lei Complementar 35,26/07/12
Nordeste,27,AL,2706,Região Metropolitana de Caetés,RM,270601,NÃO TEM,2708600,SÃO MIGUEL DOS CAMPOS,Lei Complementar 35,26/07/12
Nordeste,27,AL,2706,Região Metropolitana de Caetés,RM,270601,NÃO TEM,2709152,TEOTÔNIO VILELA,Lei Complementar 35,26/07/12
Nordeste,27,AL,2701,Região Metropolitana de Maceió,RM,270101,NÃO TEM,2700409,ATALAIA,Lei Complementar 38 (altera município de RM),17/06/13
Nordeste,27,AL,2701,Região Metropolitana de Maceió,RM,270101,NÃO TEM,2700508,BARRA DE SANTO ANTÔNIO,Lei Complementar 18,19/11/98
Nordeste,27,AL,2701,Região Metropolitana de Maceió,RM,270101,NÃO TEM,2700607,BARRA DE SÃO MIGUEL,Lei Complementar 18,19/11/98
Nordeste,27,AL,2701,Região Metropolitana de Maceió,RM,270101,NÃO TEM,2702207,COQUEIRO SECO,Lei Complementar 18,19/11/98
Nordeste,27,AL,2701,Região Metropolitana de Maceió,RM,270101,NÃO TEM,2704302,MACEIÓ,Lei Complementar 18,19/11/98
Nordeste,27,AL,2701,Região Metropolitana de Maceió,RM,270101,NÃO TEM,2704708,MARECHAL DEODORO,Lei Complementar 18,19/11/98
Nordeste,27,AL,2701,Região Metropolitana de Maceió,RM,270101,NÃO TEM,2705200,MESSIAS,Lei Complementar 18,19/11/98
Nordeste,27,AL,2701,Região Metropolitana de Maceió,RM,270101,NÃO TEM,2705507,MURICI,Lei Complementar 40,17/06/14
Nordeste,27,AL,2701,Região Metropolitana de Maceió,RM,270101,NÃO TEM,2706448,PARIPUEIRA,Lei Complementar 18,19/11/98
Nordeste,27,AL,2701,Região Metropolitana de Maceió,RM,270101,NÃO TEM,2706901,PILAR,Lei Complementar 18,19/11/98
Nordeste,27,AL,2701,Região Metropolitana de Maceió,RM,270101,NÃO TEM,2707701,RIO LARGO,Lei Complementar 18,19/11/98
Nordeste,27,AL,2701,Região Metropolitana de Maceió,RM,270101,NÃO TEM,2707909,SANTA LUZIA DO NORTE,Lei Complementar 18,19/11/98
Nordeste,27,AL,2701,Região Metropolitana de Maceió,RM,270101,NÃO TEM,2708907,SATUBA,Lei Complementar 18,19/11/98
Nordeste,27,AL,2705,Região Metropolitana de Palmeira dos Índios,RM,270501,NÃO TEM,2700805,BELÉM,Lei Complementar 32,05/01/12
Nordeste,27,AL,2705,Região Metropolitana de Palmeira dos Índios,RM,270501,NÃO TEM,2701209,CACIMBINHAS,Lei Complementar 32,05/01/12
Nordeste,27,AL,2705,Região Metropolitana de Palmeira dos Índios,RM,270501,NÃO TEM,2702553,ESTRELA DE ALAGOAS,Lei Complementar 32,05/01/12
Nordeste,27,AL,2705,Região Metropolitana de Palmeira dos Índios,RM,270501,NÃO TEM,2703106,IGACI,Lei Complementar 32,05/01/12
Nordeste,27,AL,2705,Região Metropolitana de Palmeira dos Índios,RM,270501,NÃO TEM,2704401,MAJOR ISIDORO,Lei Complementar 32,05/01/12
Nordeste,27,AL,2705,Região Metropolitana de Palmeira dos Índios,RM,270501,NÃO TEM,2705309,MINADOR DO NEGRÃO,Lei Complementar 32,05/01/12
Nordeste,27,AL,2705,Região Metropolitana de Palmeira dos Índios,RM,270501,NÃO TEM,2706307,PALMEIRA DOS ÍNDIOS,Lei Complementar 32,05/01/12
Nordeste,27,AL,2702,Região Metropolitana do Agreste,RM,270201,NÃO TEM,2700300,ARAPIRACA,Lei Complementar 27,30/11/09
Nordeste,27,AL,2702,Região Metropolitana do Agreste,RM,270201,NÃO TEM,2701506,CAMPO GRANDE,Lei Complementar 27,30/11/09
Nordeste,27,AL,2702,Região Metropolitana do Agreste,RM,270201,NÃO TEM,2702009,COITÉ DO NÓIA,Lei Complementar 27,30/11/09
Nordeste,27,AL,2702,Região Metropolitana do Agreste,RM,270201,NÃO TEM,2702355,CRAÍBAS,Lei Complementar 27,30/11/09
Nordeste,27,AL,2702,Região Metropolitana do Agreste,RM,270201,NÃO TEM,2702603,FEIRA GRANDE,Lei Complementar 27,30/11/09
Nordeste,27,AL,2702,Região Metropolitana do Agreste,RM,270201,NÃO TEM,2702900,GIRAU DO PONCIANO,Lei Complementar 27,30/11/09
Nordeste,27,AL,2702,Região Metropolitana do Agreste,RM,270201,NÃO TEM,2703700,JARAMATAIA,Lei Complementar 27,30/11/09
Nordeste,27,AL,2702,Região Metropolitana do Agreste,RM,270201,NÃO TEM,2704005,JUNQUEIRO,Lei Complementar 27,30/11/09
Nordeste,27,AL,2702,Região Metropolitana do Agreste,RM,270201,NÃO TEM,2704104,LAGOA DA CANOA,Lei Complementar 27,30/11/09
Nordeste,27,AL,2702,Região Metropolitana do Agreste,RM,270201,NÃO TEM,2704203,LIMOEIRO DE ANADIA,Lei Complementar 27,30/11/09
Nordeste,27,AL,2702,Região Metropolitana do Agreste,RM,270201,NÃO TEM,2705903,OLHO D'ÁGUA GRANDE,Lei Complementar 27,30/11/09
Nordeste,27,AL,2702,Região Metropolitana do Agreste,RM,270201,NÃO TEM,2708204,SÃO BRÁS,Lei Complementar 27,30/11/09
Nordeste,27,AL,2702,Região Metropolitana do Agreste,RM,270201,NÃO TEM,2708808,SÃO SEBASTIÃO,Lei Complementar 27,30/11/09
Nordeste,27,AL,2702,Região Metropolitana do Agreste,RM,270201,NÃO TEM,2709103,TAQUARANA,Lei Complementar 27,30/11/09
Nordeste,27,AL,2702,Região Metropolitana do Agreste,RM,270201,NÃO TEM,2709202,TRAIPU,Lei Complementar 27,30/11/09
Nordeste,27,AL,2708,Região Metropolitana do Médio Sertão,RM,270801,NÃO TEM,2701803,CARNEIROS,Lei Complementar 39,08/08/13
Nordeste,27,AL,2708,Região Metropolitana do Médio Sertão,RM,270801,NÃO TEM,2702504,DOIS RIACHOS,Lei Complementar 39,08/08/13
Nordeste,27,AL,2708,Região Metropolitana do Médio Sertão,RM,270801,NÃO TEM,2704609,MARAVILHA,Lei Complementar 39,08/08/13
Nordeste,27,AL,2708,Região Metropolitana do Médio Sertão,RM,270801,NÃO TEM,2705705,OLHO D'ÁGUA DAS FLORES,Lei Complementar 39,08/08/13
Nordeste,27,AL,2708,Região Metropolitana do Médio Sertão,RM,270801,NÃO TEM,2706000,OLIVENÇA,Lei Complementar 39,08/08/13
Nordeste,27,AL,2708,Região Metropolitana do Médio Sertão,RM,270801,NÃO TEM,2706109,OURO BRANCO,Lei Complementar 39,08/08/13
Nordeste,27,AL,2708,Região Metropolitana do Médio Sertão,RM,270801,NÃO TEM,2707206,POÇO DAS TRINCHEIRAS,Lei Complementar 39,08/08/13
Nordeste,27,AL,2708,Região Metropolitana do Médio Sertão,RM,270801,NÃO TEM,2708006,SANTANA DO IPANEMA,Lei Complementar 39,08/08/13
Nordeste,27,AL,2708,Região Metropolitana do Médio Sertão,RM,270801,NÃO TEM,2708956,SENADOR RUI PALMEIRA,Lei Complementar 39,08/08/13
Nordeste,27,AL,2709,Região Metropolitana do São Francisco,RM,270901,NÃO TEM,2702702,FELIZ DESERTO,Lei Complementar 33,11/05/12
Nordeste,27,AL,2709,Região Metropolitana do São Francisco,RM,270901,NÃO TEM,2703205,IGREJA NOVA,Lei Complementar 33,11/05/12
Nordeste,27,AL,2709,Região Metropolitana do São Francisco,RM,270901,NÃO TEM,2706703,PENEDO,Lei Complementar 33,11/05/12
Nordeste,27,AL,2709,Região Metropolitana do São Francisco,RM,270901,NÃO TEM,2706802,PIAÇABUÇU,Lei Complementar 33,11/05/12
Nordeste,27,AL,2709,Região Metropolitana do São Francisco,RM,270901,NÃO TEM,2707503,PORTO REAL DO COLÉGIO,Lei Complementar 33,11/05/12
Nordeste,27,AL,2707,Região Metropolitana do Sertão,RM,270701,NÃO TEM,2700102,ÁGUA BRANCA,Lei Complementar 36,26/07/12
Nordeste,27,AL,2707,Região Metropolitana do Sertão,RM,270701,NÃO TEM,2702405,DELMIRO GOUVEIA,Lei Complementar 36,26/07/12
Nordeste,27,AL,2707,Região Metropolitana do Sertão,RM,270701,NÃO TEM,2703304,INHAPI,Lei Complementar 36,26/07/12
Nordeste,27,AL,2707,Região Metropolitana do Sertão,RM,270701,NÃO TEM,2705002,MATA GRANDE,Lei Complementar 36,26/07/12
Nordeste,27,AL,2707,Região Metropolitana do Sertão,RM,270701,NÃO TEM,2705804,OLHO D'ÁGUA DO CASADO,Lei Complementar 36,26/07/12
Nordeste,27,AL,2707,Região Metropolitana do Sertão,RM,270701,NÃO TEM,2706422,PARICONHA,Lei Complementar 36,26/07/12
Nordeste,27,AL,2707,Região Metropolitana do Sertão,RM,270701,NÃO TEM,2707107,PIRANHAS,Lei Complementar 36,26/07/12
Nordeste,27,AL,2703,Região Metropolitana do Vale do Paraíba,RM,270301,NÃO TEM,2700201,ANADIA,Lei Complementar 30,15/12/11
Nordeste,27,AL,2703,Região Metropolitana do Vale do Paraíba,RM,270301,NÃO TEM,2701001,BOCA DA MATA,Lei Complementar 30,15/12/11
Nordeste,27,AL,2703,Região Metropolitana do Vale do Paraíba,RM,270301,NÃO TEM,2701308,CAJUEIRO,Lei Complementar 30,15/12/11
Nordeste,27,AL,2703,Região Metropolitana do Vale do Paraíba,RM,270301,NÃO TEM,2701704,CAPELA,Lei Complementar 30,15/12/11
Nordeste,27,AL,2703,Região Metropolitana do Vale do Paraíba,RM,270301,NÃO TEM,2701902,CHÃ PRETA,Lei Complementar 30,15/12/11
Nordeste,27,AL,2703,Região Metropolitana do Vale do Paraíba,RM,270301,NÃO TEM,2704906,MAR VERMELHO,Lei Complementar 30,15/12/11
Nordeste,27,AL,2703,Região Metropolitana do Vale do Paraíba,RM,270301,NÃO TEM,2704807,MARIBONDO,Lei Complementar 30,15/12/11
Nordeste,27,AL,2703,Região Metropolitana do Vale do Paraíba,RM,270301,NÃO TEM,2706604,PAULO JACINTO,Lei Complementar 30,15/12/11
Nordeste,27,AL,2703,Região Metropolitana do Vale do Paraíba,RM,270301,NÃO TEM,2707008,PINDOBA,Lei Complementar 30,15/12/11
Nordeste,27,AL,2703,Região Metropolitana do Vale do Paraíba,RM,270301,NÃO TEM,2707602,QUEBRANGULO,Lei Complementar 30,15/12/11
Nordeste,27,AL,2703,Região Metropolitana do Vale do Paraíba,RM,270301,NÃO TEM,2709004,TANQUE D'ARCA,Lei Complementar 30,15/12/11
Nordeste,27,AL,2703,Região Metropolitana do Vale do Paraíba,RM,270301,NÃO TEM,2709400,VIÇOSA,Lei Complementar 30,15/12/11
Nordeste,29,BA,2902,Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA,RIDE,290201,NÃO TEM,2907202,CASA NOVA,DECRETO Nº 4.366 - 09/09/2002 Regulamenta a Lei Complementar  113,19/09/01
